ds,yhat_lower,yhat_upper
2021-08-17 00:00:00,34798.69354883016,38521.44416426486
2021-08-17 12:00:00,34889.14370071472,38611.89431614942
2021-08-18 00:00:00,34979.45700160905,38702.20761704375
2021-08-18 12:00:00,35069.641770795,38792.3923862297
2021-08-19 00:00:00,35159.70677830615,38882.45739374085
2021-08-19 12:00:00,35249.661331897805,38972.411947332504
2021-08-20 00:00:00,35339.515161268566,39062.265776703265
2021-08-20 12:00:00,35429.27845814974,39152.02907358444
2021-08-21 00:00:00,35518.96184967579,39241.71246511049
2021-08-21 12:00:00,35608.57634360974,39331.32695904444
2021-08-22 00:00:00,35698.133353696874,39420.88396913157
2021-08-22 12:00:00,35787.64462487202,39510.395240306716
2021-08-23 00:00:00,35877.122285886326,39599.872901321025
2021-08-23 12:00:00,35966.57872627575,39689.32934171045
2021-08-24 00:00:00,36056.02667158138,39778.77728701608
2021-08-24 12:00:00,36145.47911215699,39868.229727591686
2021-08-25 00:00:00,36234.94929087551,39957.69990631021
2021-08-25 12:00:00,36324.450664158416,40047.201279593115
2021-08-26 00:00:00,36413.996906854736,40136.747522289435
2021-08-26 12:00:00,36503.60185635169,40226.35247178639
2021-08-27 00:00:00,36593.27954170049,40316.03015713519
2021-08-27 12:00:00,36683.04411617649,40405.79473161119
2021-08-28 00:00:00,36772.90981931981,40495.66043475451
2021-08-28 12:00:00,36862.8909896272,40585.6416050619
2021-08-29 00:00:00,36953.00205919193,40675.75267462663
2021-08-29 12:00:00,37043.25748661574,40766.00810205044
2021-08-30 00:00:00,37133.671724903135,40856.422340337835
2021-08-30 12:00:00,37224.259258976344,40947.009874411044
2021-08-31 00:00:00,37315.03450168696,41037.78511712166
2021-08-31 12:00:00,37406.01187109353,41128.76248652823
2021-09-01 00:00:00,37497.2056650907,41219.9562805254
2021-09-01 12:00:00,37588.63009254578,41311.38070798048
2021-09-02 00:00:00,37680.2992316158,41403.0498470505
2021-09-02 12:00:00,37772.22703940904,41494.97765484374
2021-09-03 00:00:00,37864.4272867435,41587.1779021782
2021-09-03 12:00:00,37956.91356213217,41679.66417756687
2021-09-04 00:00:00,38049.69923179718,41772.44984723188
2021-09-04 12:00:00,38142.79740412748,41865.54801956218
2021-09-05 00:00:00,38236.22099479955,41958.97161023425
2021-09-05 12:00:00,38329.982565642145,42052.733181076845
2021-09-06 00:00:00,38424.09439664811,42146.84501208281
2021-09-06 12:00:00,38518.56843575124,42241.319051185936
2021-09-07 00:00:00,38613.41634750206,42336.16696293676
2021-09-07 12:00:00,38708.649348513914,42431.399963948614
2021-09-08 00:00:00,38804.27827551686,42527.02889095156
2021-09-08 12:00:00,38900.31358991524,42623.06420534994
2021-09-09 00:00:00,38996.76531320929,42719.51592864399
2021-09-09 12:00:00,39093.6429760199,42816.3935914546
2021-09-10 00:00:00,39190.95570266567,42913.70631810037
2021-09-10 12:00:00,39288.7120744966,43011.4626899313
2021-09-11 00:00:00,39386.92020721,43109.6708226447
2021-09-11 12:00:00,39485.587612904164,43208.338228338864
2021-09-12 00:00:00,39584.72137393695,43307.47198937165
2021-09-12 12:00:00,39684.32791070765,43407.07852614235
2021-09-13 00:00:00,39784.41309654029,43507.16371197499
2021-09-13 12:00:00,39884.982204840206,43607.732820274905
2021-09-14 00:00:00,39986.03991713483,43708.79053256953
2021-09-14 12:00:00,40087.59023405738,43810.34084949208
2021-09-15 00:00:00,40189.63653289181,43912.38714832651
2021-09-15 12:00:00,40292.18154772426,44014.93216315896
2021-09-16 00:00:00,40395.22731983302,44117.97793526772
2021-09-16 12:00:00,40498.77520808056,44221.52582351526
2021-09-17 00:00:00,40602.82583386914,44325.57644930384
2021-09-17 12:00:00,40707.37918416506,44430.12979959976
2021-09-18 00:00:00,40812.43440313102,44535.18501856572
2021-09-18 12:00:00,40917.98996806915,44640.74058350385
2021-09-19 00:00:00,41024.04359125317,44746.79420668787
2021-09-19 12:00:00,41130.5922150414,44853.3428304761
2021-09-20 00:00:00,41237.63201185656,44960.38262729126
2021-09-20 12:00:00,41345.15836772207,45067.90898315677
2021-09-21 00:00:00,41453.16586826773,45175.91648370243
2021-09-21 12:00:00,41561.64829134242,45284.39890677712
2021-09-22 00:00:00,41670.598667587525,45393.349283022224
2021-09-22 12:00:00,41780.0091272527,45502.7597426874
2021-09-23 00:00:00,41889.87099883173,45612.62161426643
2021-09-23 12:00:00,42000.17484187303,45722.92545730773
2021-09-24 00:00:00,42110.91030696111,45833.66092239581
2021-09-24 12:00:00,42222.06626732072,45944.81688275542
2021-09-25 00:00:00,42333.63068945453,46056.381304889226
2021-09-25 12:00:00,42445.59075378328,46168.34136921798
2021-09-26 00:00:00,42557.9327723925,46280.6833878272
2021-09-26 12:00:00,42670.64220632937,46393.39282176407
2021-09-27 00:00:00,42783.703641078675,46506.454256513374
2021-09-27 12:00:00,42897.10085818692,46619.85147362162
2021-09-28 00:00:00,43010.81673958876,46733.56735502346
2021-09-28 12:00:00,43124.83338113804,46847.58399657274
2021-09-29 00:00:00,43239.13193558052,46961.88255101522
2021-09-29 12:00:00,43353.69278059482,47076.44339602952
2021-09-30 00:00:00,43468.49543738233,47191.24605281703
2021-09-30 12:00:00,43583.5185692524,47306.2691846871
2021-10-01 00:00:00,43698.74001260595,47421.49062804065
2021-10-01 12:00:00,43814.13681588682,47536.88743132152
